genus_species,Elo_Progen2_medium_ll_mean,Elo_Progen2_medium_ll_SE,Elo_Progen2_base_ll_mean,Elo_Progen2_base_ll_SE,Elo_Progen2_large_ll_mean,Elo_Progen2_large_ll_SE,Elo_Progen2_xlarge_ll_mean,Elo_Progen2_xlarge_ll_SE,Elo_Progen2_BFD90_ll_mean,Elo_Progen2_BFD90_ll_SE,Elo_ESM2_650M_pppl_mean,Elo_ESM2_650M_pppl_SE,Elo_ESM2_3B_pppl_mean,Elo_ESM2_3B_pppl_SE,Elo_ESM2_15B_pppl_mean,Elo_ESM2_15B_pppl_SE
Gallus gallus,2085.880492799079,20.03112899732815,2017.7278708420706,19.687556771630394,2063.1805148488957,19.563247159044995,2115.111499821684,19.602687726710823,2116.3521747566188,18.396293366824327,1614.454798380978,27.359491927422816,1643.2749365296174,22.6757613208142,1674.6360209542524,21.561918943308847
Erwinia tasmaniensis,1807.6054102706382,21.399691685117556,1637.72378832349,25.000535110577342,1769.7167827798733,20.91586864099062,1927.1789292336432,18.91272075750343,1843.9158699679895,22.065004007596784,1705.137528821177,18.007848624726098,1649.591797031535,23.402318671181995,1645.780674832084,23.30303495432601
Rickettsia prowazekii,795.4731198387294,13.032351743313349,951.5058958262257,22.246978109711254,771.6023787434605,14.038955160867797,604.4547716096392,9.724785343154666,711.910492567295,11.260126277021985,1204.7493734117807,27.19783056963591,1144.902749181772,26.77226179919604,1099.579936507983,22.737809865201275
Chlamydomonas reinhardtii,1121.3269680176465,21.856336555258945,1203.5891738312503,21.89676725139899,1145.15317185991,20.359127166318107,1009.883678675862,19.06609695327307,1049.194546198066,22.140419852519972,1336.502746417107,31.04981895210179,1319.730400788364,26.00163915620938,1313.175325727987,23.071814897959243
Plasmodium falciparum,789.6029768490226,12.233099512020479,898.1716695868844,11.116883675427522,823.2913120200185,11.82743059913889,818.7694754267635,15.70023063141257,778.6769826672868,11.375800974414425,1032.3019440050061,16.441048362863015,1075.4165325788354,22.27807714935689,1218.3194584108733,26.323101151272954
Mesorhizobium japonicum,1691.7342756342568,22.58122435109287,1597.2250267985457,22.51701667152445,1783.287292674274,19.0120075639691,1696.7416364413773,18.711182969640422,1723.8689650710853,21.161768297159337,1575.9160843327545,30.24829646736133,1579.9421235823115,31.2715997601704,1538.9503165589817,27.96321652403261
Geobacillus kaustophilus,1927.1942685465701,20.624833156409554,1823.5245796500576,20.9247297212365,1821.117826046231,21.82613335649059,1716.9071033802743,20.981321202895696,1879.9125794417234,22.93669656568223,1957.442586611999,20.42781199530089,1876.2820155462803,20.030021538646423,1824.4065246327261,21.487984267680485
Serratia proteamaculans,1848.0857750204304,24.884914671153076,1699.5928643279171,26.958465254940783,1812.6730725061998,25.67740915339564,1946.0570177757309,24.289152890287273,1894.80133480467,23.89678435004481,1721.434351958374,22.47960196206819,1668.801666049074,24.294084140260054,1682.2652990146992,22.77421521247772
Debaryomyces hansenii,1203.578453293138,16.20229995466612,1314.5494344321505,18.273470293704015,1202.6602624527939,14.11693174320615,1303.5173443717158,17.096086115755774,1200.8573986864367,15.371578189740056,1206.9309849499514,22.614277743997082,1249.54809876267,25.104952672135592,1272.1337679932276,22.92025578263027
Drosophila melanogaster,1535.521422688454,24.943456178307997,1602.036363831632,28.827425082360133,1565.740619179123,28.108159300884143,1569.640237312558,26.291385446293024,1523.4178194940685,24.94973332568393,1395.314845538202,34.81472348398549,1484.8519081861966,34.27447026156579,1479.5725661033116,32.74779362728278
Caulobacter vibrioides,1329.4187947737964,21.774921070748047,1345.2977343568905,23.95427955627629,1528.0426249214092,29.820312301078644,1298.9278886306927,24.188548843342005,1310.0385967531145,23.097760446263223,1544.3397722790933,25.872119741980864,1489.8916120548124,27.370880566632053,1401.1142504865034,24.731882836446314
Felis catus,2328.6154250748395,8.697844638820285,2111.6400186969086,21.781771461205672,2335.4072401622643,8.145079331563752,2419.142631030795,7.055466160036751,2358.9303195749976,7.533601911877036,1649.0398703742208,25.807057754597338,1741.3666882998118,22.798252647633504,1751.4283099537329,20.58588644403964
Schizosaccharomyces pombe,1102.2779510494952,16.576235001023996,1267.7308252032485,27.05831867711059,1077.683290636685,16.63363603148749,956.2678681896101,15.393429522603027,1029.238582195298,15.198028495600132,1146.938564058904,17.05552079829868,1178.2374804772019,22.504264754323014,1177.102604536557,22.155497787783474
Escherichia coli,1942.0822802638224,18.589178013554505,1748.0502716534552,29.17290765340085,1909.7231016899539,21.66877992986722,2106.5289866925173,18.504691900838043,2007.198669784952,18.739015083967043,1781.1826689596926,27.82476758120064,1774.0255364868638,29.987383816462387,1769.8419430030262,31.83867660942321
